Reference,Protocol,Brand,CameraLensControl,LensMount,ManufacturerURL,Remark,Name,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Number,Selected,Network,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes
Adimec,Not still documented,Adimec,TBD,Unknown,https://www.adimec.com/cameras/global-security/tmx-cmos-cameras/tmx74/,,TMX74,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
AidaGen3G200,Not still documented,Aida,TBD,No-Xchange-Manual,https://aidaimaging.com/gen3g-200/,,Gen3G-200,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
AidaHdNdi200,Not still documented,Aida,TBD,No-Xchange-Manual,https://aidaimaging.com/hd-ndi-200/,,HD NDI 200,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
AidaPtzX12,Not still documented,Aida,TBD,No-Xchange-Motorized,https://aidaimaging.com/hd-ndi-200/,,PTZ X12,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
AidaUHD6G200,Not still documented,Aida,TBD,No-Xchange-Manual,https://aidaimaging.com/uhd6g-200/,,UHD6G-200,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
Arc360,Not still documented,ARC,TBD,B4-Mount,https://www.agileremotecameras.com/products/arc360-ptz-camera/,,Arc360,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
Astro4829,Not still documented,AstroDesign,TBD,PL-Mount,https://www.astrodesign.co.jp/english/product/ab-4830_ac-4829,,AC4829,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
BellDriversEye,Not still documented,Bell,TBD,Unknown,https://bellracing.eu/,,Driver's Eye,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
Camball,Not still documented,Bradley,TBD,Unknown,,,Camball,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
CamballIp,Not still documented,Bradley,TBD,Unknown,,,Camball/IP,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
Meerkat,Not still documented,CameraCorps,TBD,Unknown,,,Meerkat,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
CCQBall,Not still documented,CameraCorps,TBD,Unknown,https://cameracorps.co.uk/product/qx/,,QBall,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,0,False,LAN Wired,TBD,No Need,Manual,No extra motors,
